Date,Narration,Debit,Credit,Balance
01/05/2026,SALARY CREDIT ACME CORP,,85000.00,142300.00
05/05/2026,RENT PAYMENT NEFT REF882910,20000.00,,122300.00
06/05/2026,SIP FLEXICAP FUND,5000.00,,117300.00
15/05/2026,NETFLIX.COM 8842910234,649.00,,116651.00
20/05/2026,ATM WITHDRAWAL,5000.00,,111651.00
01/06/2026,SALARY CREDIT ACME CORP,,85000.00,196651.00
05/06/2026,RENT PAYMENT NEFT REF991823,20000.00,,176651.00
06/06/2026,SIP FLEXICAP FUND,5000.00,,171651.00
12/06/2026,UPI-SWIGGY-ORDER,540.00,,171111.00
15/06/2026,NETFLIX.COM 7723840912,649.00,,170462.00
01/07/2026,SALARY CREDIT ACME CORP,,85000.00,255462.00
05/07/2026,RENT PAYMENT NEFT REF104532,20000.00,,235462.00
06/07/2026,SIP FLEXICAP FUND,5000.00,,230462.00
15/07/2026,NETFLIX.COM 6612093847,649.00,,229813.00
